Reviews,Sentiments
"apallingly absurd . . . the chemistry or lack thereof between newton and wahlberg could turn an imax theater into a 9 "" black and white portable tv . ",neg
what should have been a cutting hollywood satire is instead about as fresh as last week's issue of variety . ,neg
going to the website may be just as fun ( and scary ) as going to the film . ,neg
"as a vehicle to savour binoche's skill , the film is well worthwhile . ",pos
"the nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations . ",neg
every so often a movie comes along that confirms one's worse fears about civilization as we know it . the new guy is one of them . ,neg
"a rich tale of our times , very well told with an appropriate minimum of means . ",pos
"almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited . and in a sense , that's a liability . ",neg
"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter's glory days on three's company . ",neg
they threw loads of money at an idea that should've been so much more even if it was only made for teenage boys and wrestling fans . ,neg
this is one of the rarest kinds of films : a family-oriented non-disney film that is actually funny without hitting below the belt . ,pos
"all ms . jovovich , as the sanctified heroine , has to do is look radiant , grimly purposeful and mildly alarmed while forcing open doors , wielding wrenches and fleeing monsters . ",neg
"the movie strains to stay on the light , comic side of the issue , despite the difficulty of doing so when dealing with the destruction of property and , potentially , of life itself . ",neg
"this is a smart movie that knows its classical music , knows its freud and knows its sade . ",pos
lazily directed by charles stone iii . . . from a leaden script by matthew cirulnick and novelist thulani davis . ,neg
"hilarious , acidic brit comedy . ",pos
"it's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers don't make often enough . ",pos
"to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest . ",pos
my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it's virtually its own hollywood remake . ,pos
queen of the damned is too long with too little going on . ,neg
"plays as hollow catharsis , with lots of tears but very little in the way of insights . ",neg
" "" bad "" is the operative word for "" bad company , "" and i don't mean that in a good way . ",neg
there is greatness here . ,pos
the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining . ,pos
"a brilliant , absurd collection of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium . ",pos
the movie is . . . very funny as you peek at it through the fingers in front of your eyes . ,pos
in the end there is one word that best describes this film : honest . ,pos
"each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments . ",pos
an imponderably stilted and self-consciously arty movie . ,neg
"while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so aggressively silly that it's more than a worthwhile effort . ",pos
"though frida is easier to swallow than julie taymor's preposterous titus , the eye candy here lacks considerable brio . ",neg
"a whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish . ",pos
"in its ragged , cheap and unassuming way , the movie works . ",pos
"the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him . . . there is never really a true "" us "" versus "" them "" . ",pos
if high crimes were any more generic it would have a universal product code instead of a title . ,neg
"not really a thriller so much as a movie for teens to laugh , groan and hiss at . ",neg
"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer . ",pos
you might be shocked to discover that seinfeld's real life is boring . ,neg
a remarkable film by bernard rose . ,pos
an instance of an old dog not only learning but inventing a remarkable new trick . ,pos
deepa mehta provides an accessible introduction as well as some intelligent observations on the success of bollywood in the western world . ,pos
"like the series , the movie is funny , smart , visually inventive , and most of all , alive . ",pos
"superior genre storytelling , which gets under our skin simply by crossing the nuclear line . ",pos
"a woozy , roisterous , exhausting mess , and the off-beat casting of its two leads turns out to be as ill-starred as you might expect . ",neg
"the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers . ",neg
"armed with a game supporting cast , from the pitch-perfect forster to the always hilarious meara and levy , like mike shoots and scores , doing its namesake proud . ",pos
"even if britney spears is really cute , her movie is really bad . ",neg
"twenty years later , e . t . is still a cinematic touchstone . ",pos
why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? ,neg
"at a time when half the so-called real movies are little more than live-action cartoons , it's refreshing to see a cartoon that knows what it is , and knows the form's history . ",pos
"frankly , it's pretty stupid . i had more fun with ben stiller's zoolander , which i thought was rather clever . but there's plenty to offend everyone . . . ",neg
"poetic , heartbreaking . ",pos
"the ingenious construction ( adapted by david hare from michael cunningham's novel ) constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism",pos
"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",neg
"a coming-of-age tale from new zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board . ",pos
"while it's all quite tasteful to look at , the attention process tends to do a little fleeing of its own . ",neg
"it's burns' visuals , characters and his punchy dialogue , not his plot , that carry waydowntown . ",pos
"as crimes go , writer-director michael kalesniko's how to kill your neighbor's dog is slight but unendurable . ",neg
" . . . a plotline that's as lumpy as two-day old porridge . . . the filmmakers' paws , sad to say , were all over this "" un-bear-able "" project ! ",neg
less front-loaded and more shapely than the two-hour version released here in 1990 . ,pos
boisterous and daft documentary . ,pos
"a generous , inspiring film that unfolds with grace and humor and gradually becomes a testament to faith . ",pos
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",neg
it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate . ,pos
the good girl is a film in which the talent is undeniable but the results are underwhelming . ,neg
like a south-of-the-border melrose place . ,pos
" . . . has its moments , but ultimately , its curmudgeon doesn't quite make the cut of being placed on any list of favorites . ",neg
"it's slow -- very , very slow . it's not the ultimate depression-era gangster movie . that's pure pr hype . ",neg
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,neg
not good enough to pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans . ,neg
"ub equally spoofs and celebrates the more outre aspects of 'black culture' and the dorkier aspects of 'white culture , ' even as it points out how inseparable the two are . ",pos
 . . . a thoughtful what-if for the heart as well as the mind . ,pos
"it's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today . ",pos
"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie . . . without neglecting character development for even one minute . ",pos
it may . . . work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns . ,pos
an intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch . ,pos
martyr gets royally screwed and comes back for more . ,pos
"all in all , road to perdition is more in love with strangeness than excellence . ",neg
a flawed film but an admirable one that tries to immerse us in a world of artistic abandon and political madness and very nearly succeeds . ,pos
"to the vast majority of more casual filmgoers , it will probably be a talky bore . ",neg
"offers big , fat , dumb laughs that may make you hate yourself for giving in . ah , what the hell . ",pos
an intelligent romantic thriller of a very old-school kind of quality . ,pos
murderous maids pulls no punches in its depiction of the lives of the papin sister and the events that led to their notorious rise to infamy . . . ,pos
it's a satisfying summer blockbuster and worth a look . ,pos
combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why didn't hollywood think of this sooner ? ,pos
"contrived as this may sound , mr . rose's updating works surprisingly well . ",pos
"the characters , cast in impossibly contrived situations , are totally estranged from reality . ",neg
feels familiar and tired . ,neg
"hardly an objective documentary , but it's great cinematic polemic . . . love moore or loathe him , you've got to admire . . . the intensity with which he's willing to express his convictions . ",pos
a retread of material already thoroughly plumbed by martin scorsese . ,neg
"even film silliness needs a little gravity , beyond good hair and humping . ",neg
"it made me want to get made-up and go see this movie with my sisters . i thought the relationships were wonderful , the comedy was funny , and the love 'real' . ",pos
"the locations go from stark desert to gorgeous beaches . the story plays out slowly , but the characters are intriguing and realistic . ",pos
"it has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition . ",neg
warmed-over hash . ,neg
"there are a few stabs at absurdist comedy . . . but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty . ",pos
sushi for the connoisseurs of the macabre . ,neg
"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting . ",pos
"it's enough to watch huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that chabrol spins . ",pos
this is the kind of movie where the big scene is a man shot out of a cannon into a vat of ice cream . ,neg
"costner's warm-milk persona is just as ill-fitting as shadyac's perfunctory directing chops , and some of the more overtly silly dialogue would sink laurence olivier . ",neg
"some episodes work , some don't . ",neg
"a highly watchable , giggly little story with a sweet edge to it . ",pos
the film tunes into a grief that could lead a man across centuries . ,pos
"at times funny and at other times candidly revealing , it's an intriguing look at two performers who put themselves out there because they love what they do . ",pos
" "" freaky friday , "" it's not . ",neg
it's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex . ,neg
'interesante y disfrutable trabajo gracias a que prescinde del clásico elemento estadounidense patriotero y manipulador . ',pos
another in-your-face wallow in the lower depths made by people who have never sung those blues . ,neg
far more enjoyable than its predecessor . ,neg
"yes , it's as good as you remember . in fact , even better . ",pos
"while the story is better-focused than the incomprehensible anne rice novel it's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle . ",neg
the magic of the film lies not in the mysterious spring but in the richness of its performances . ,pos
"a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions . ",pos
the scriptwriters are no less a menace to society than the film's characters . ,neg
some like it hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,neg
"one of recent memory's most thoughtful films about art , ethics , and the cost of moral compromise . ",pos
"this movie may not have the highest production values you've ever seen , but it's the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep . ",pos
"an intelligent , moving and invigorating film . ",pos
another boorish movie from the i-heard-a-joke- at-a-frat-party school of screenwriting . ,neg
happy times maintains an appealing veneer without becoming too cute about it . ,pos
aan opportunity wasted . ,neg
'easily my choice for one of the year's best films . ',pos
"writer/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza . ",pos
it is too bad that this likable movie isn't more accomplished . the actors try hard but come off too amateurish and awkward . ,neg
less worrying about covering all the drama in frida's life and more time spent exploring her process of turning pain into art would have made this a superior movie . ,neg
wanker goths are on the loose ! run for your lives ! ,neg
a diverse and astonishingly articulate cast of palestinian and israeli children . ,pos
an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st . petersburg's hermitage museum . ,pos
"while it is interesting to witness the conflict from the palestinian side , longley's film lacks balance . . . and fails to put the struggle into meaningful historical context . ",neg
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",neg
"for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout . ",neg
"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars",pos
"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system . ",pos
this is not a jackie chan movie . it's just a movie that happens to have jackie chan in it . and that makes all the difference . ,neg
friday after next has the same problem that next friday did -- it's called where's chris tucker when you need him ? ,neg
it's secondary to american psycho but still has claws enough to get inside you and stay there for a couple of hours . ,pos
"flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising . ",neg
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade . ",pos
"a morality tale whose thought-provoking potential is hampered by a made-for-tv look , rigid performances and an asinine 'twist' that brazenly rips off the sixth sense . ",neg
" . . . gripping and handsome execution , ( but ) there isn't much about k-19 that's unique or memorable . ",pos
a different movie -- sometimes tedious -- by a director many viewers would like to skip but film buffs should get to know . ,pos
 . . . the kind of entertainment that parents love to have their kids see . ,pos
a full-frontal attack on audience patience . ,neg
the story ultimately takes hold and grips hard . ,pos
"it just may inspire a few younger moviegoers to read stevenson's book , which is a treasure in and of itself . ",pos
the picture doesn't know it's a comedy . ,neg
thin period piece . ,neg
"polished , well-structured film . ",pos
what makes the movie a comedy is the way it avoids the more serious emotions involved . ,pos
"it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness . ",neg
"meeting , even exceeding expectations , it's the best sequel since the empire strikes back . . . a majestic achievement , an epic of astonishing grandeur and surprising emotional depth . ",pos
you have no affinity for most of the characters . nothing about them is attractive . what they see in each other also is difficult to fathom . ,neg
"as relationships shift , director robert j . siegel allows the characters to inhabit their world without cleaving to a narrative arc . ",pos
"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",pos
eisenstein lacks considerable brio for a film about one of cinema's directorial giants . ,neg
"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space . ",pos
the film's most improbable feat ? it didn't go straight to video . ,neg
"sad nonsense , this . but not without cheesy fun factor . ",neg
tender yet lacerating and darkly funny fable . ,pos
"you can watch , giggle and get an adrenaline boost without feeling like you've completely lowered your entertainment standards . ",pos
"the script kicks in , and mr . hartley's distended pace and foot-dragging rhythms follow . ",neg
tennessee williams by way of oprah's book club . ,neg
"a combination of standard , stiff tv-style animation and snazzy-looking digital effects that do little to disguise the fact that the characters barely move . ",neg
gussied up with so many distracting special effects and visual party tricks that it's not clear whether we're supposed to shriek or laugh . ,neg
"last orders nurtures the multi-layers of its characters , allowing us to remember that life's ultimately a gamble and last orders are to be embraced . it's affecting , amusing , sad and reflective . ",pos
"if this movie were a book , it would be a page-turner , you can't wait to see what happens next . ",pos
"after collateral damage , you might imagine that most every aggrieved father cliché has been unturned . but no . ",neg
the director's many dodges and turns add up to little more than a screenful of gamesmanship that's low on both suspense and payoff . ,neg
"there is a beautiful , aching sadness to it all . paul cox needed to show it . it is up to you to decide if you need to see it . ",pos
worth catching for griffiths' warm and winning central performance . ,pos
"this is a gorgeous film - vivid with color , music and life . delight your senses and crash this wedding ! ",pos
obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold ! the movie will reach far beyond its core demographic . ,neg
the film is so bad it doesn't improve upon the experience of staring at a blank screen . ,neg
"a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story . ",pos
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",pos
parents beware ; this is downright movie penance . ,neg
i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring . ,neg
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ",neg
much smarter and more attentive than it first sets out to be . ,pos
"[it's] a prison soccer movie starring charismatic tough guy vinnie jones , but it had too much spitting for me to enjoy . ",neg
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder . ",pos
"the problem is that for the most part , the film is deadly dull . ",neg
snow dogs finds its humour in a black man getting humiliated by a pack of dogs who are smarter than him,neg
works on the whodunit level as its larger themes get lost in the murk of its own making,neg
"dull and mechanical , kinda like a very goofy museum exhibit",neg
"not only a coming-of-age story and cautionary parable , but also a perfectly rendered period piece . ",pos
done in mostly by a weak script that can't support the epic treatment . ,neg
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within . ,pos
"i liked the movie , but i know i would have liked it more if it had just gone that one step further . i'm left slightly disappointed that it didn't . ",neg
an experience so engrossing it is like being buried in a new environment . ,pos
"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ",pos
the impact of the armenian genocide is diluted by too much stage business in the modern day . ,neg
"each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , storytelling never quite gets over its rather lopsided conception . ",neg
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth . ",pos
" "" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film . ",pos
"while the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target . ",neg
the story has some nice twists but the ending and some of the back-story is a little tired . the performances are all solid ; it merely lacks originality to make it a great movie . ,pos
the author's devotees will probably find it fascinating ; others may find it baffling . ,neg
the cat's meow marks a return to form for director peter bogdanovich . . . ,pos
a predictable and stereotypical little b-movie . ,neg
"bad in such a bizarre way that it's almost worth seeing , if only to witness the crazy confluence of purpose and taste . ",neg
"it's tough to watch , but it's a fantastic movie . ",pos
"the story wraps back around on itself in the kind of elegant symmetry that's rare in film today , but be warned : it's a slow slog to get there . ",pos
"mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor . ",neg
"dark and disturbing , yet compelling to watch . ",pos
nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks . ,neg
"manages to be original , even though it rips off many of its ideas . ",pos
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,neg
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,neg
" . . . an incredibly heavy-handed , manipulative dud that feels all too familiar . ",neg
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images that it might more accurately be titled mr . chips off the old block . ,neg
the hypnotic imagery and fragmentary tale explore the connections between place and personal identity . ,pos
one of the most gloriously unsubtle and adrenalized extreme shockers since the evil dead . ,pos
"smart , sassy interpretation of the oscar wilde play . ",pos
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance . ",pos
[broomfield] uncovers a story powerful enough to leave the screen sizzling with intrigue . ,pos
"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry . ",pos
a small movie with a big impact . ,pos
there's surely something wrong with a comedy where the only belly laughs come from the selection of outtakes tacked onto the end credits . ,neg
"finally , the french-produced "" read my lips "" is a movie that understands characters must come first . ",pos
" . . . begins with promise , but runs aground after being snared in its own tangled plot . ",pos
"in a movie full of surprises , the biggest is that secret ballot is a comedy , both gentle and biting . ",pos
"labute can't avoid a fatal mistake in the modern era : he's changed the male academic from a lower-class brit to an american , a choice that upsets the novel's exquisite balance and shreds the fabric of the film . ",neg
hollywood's answer to an air ball . ,neg
 . . . one of the more influential works of the 'korean new wave' . ,pos
thoroughly awful . ,neg
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',neg
"a movie that will thrill you , touch you and make you laugh as well . ",pos
"the premise of "" abandon "" holds promise , . . . but its delivery is a complete mess . ",neg
"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels . ",pos
like a poor man's you can count on me,pos
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . ,neg
a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society . ,pos
the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . ,neg
"both stars manage to be funny , but , like the recent i spy , the star chemistry begs the question of whether random gags add up to a movie . ",neg
"the importance of being earnest , so thick with wit it plays like a reading from bartlett's familiar quotations",pos
"no number of fantastic sets , extras , costumes and spectacular locales can disguise the emptiness at the center of the story . ",neg
coral reef adventure is a heavyweight film that fights a good fight on behalf of the world's endangered reefs -- and it lets the pictures do the punching . ,pos
"even if it ultimately disappoints , the picture does have about a matinee admission's worth of funny to keep it afloat . ",neg
"philosophically , intellectually and logistically a mess . ",neg
"it showcases carvey's talent for voices , but not nearly enough and not without taxing every drop of one's patience to get to the good stuff . ",neg
"a 75-minute sample of puerile rubbish that is listless , witless , and devoid of anything resembling humor . ",neg
old-form moviemaking at its best . ,pos
it's deep-sixed by a compulsion to catalog every bodily fluids gag in there's something about mary and devise a parallel clone-gag . ,neg
